State,Year,Active Listing Count,Avg Listing Price
IA,2013,162188.0,181378.61635220126
ID,2013,157798.0,312331.3768115942
IL,2013,914685.0,232436.6361628274
IN,2013,461635.0,162716.76891615542
KS,2013,147344.0,198052.6436781609
KY,2013,277660.0,190762.64957264956
LA,2013,213044.0,217061.35531135532
MA,2013,329570.0,542302.8433945756
MD,2013,344156.0,372612.46819338424
ME,2013,172574.0,287575.38194444444
MI,2013,717488.0,199346.29421322336
MN,2013,286193.0,255650.84785133565
MO,2013,469719.0,191771.83481701286
MS,2013,172209.0,184733.19783197832
MT,2013,108296.0,438866.5740740741
NC,2013,1038674.0,267612.5914836993
ND,2013,20834.0,258288.88888888888
NE,2013,63766.0,188840.69264069264
NH,2013,153793.0,307731.60749506904
NJ,2013,774549.0,462860.4337431694
NM,2013,142105.0,316250.3086419753
NV,2013,254059.0,373323.29931972787
NY,2013,921434.0,466429.825642832
OH,2013,841654.0,167756.73136167592
OK,2013,218307.0,184564.98127340825
OR,2013,252540.0,353046.7013888889
PA,2013,911544.0,239854.96840896035
RI,2013,70367.0,420917.41071428574
SC,2013,547439.0,267999.2248062015
SD,2013,39649.0,237448.64864864864
TN,2013,597213.0,237257.2142857143
TX,2013,1292766.0,269357.0057409401
UT,2013,182982.0,345116.17231638415
VA,2013,597609.0,351944.11331861664
VT,2013,82785.0,329558.7570621469
WA,2013,316821.0,384738.80471380474
WI,2013,528317.0,225305.92006033182
WV,2013,82385.0,197091.4191419142
WY,2013,44243.0,386128.3783783784
AK,2014,33971.0,314421.3541666667
AL,2014,405272.0,199892.07073588134
AR,2014,240326.0,188932.34989648033
AZ,2014,470587.0,319048.30567081604
CA,2014,1194325.0,713516.8099331423
CO,2014,362980.0,506805.9594383775
CT,2014,363692.0,520908.8023088023
DC,2014,20342.0,722128.947368421
DE,2014,98204.0,306631.4285714286
FL,2014,2112223.0,349417.7614346162
GA,2014,1067409.0,257400.6213592233
HI,2014,87338.0,979841.3580246913
IA,2014,164532.0,190383.7002096436
ID,2014,175458.0,320721.52173913043
IL,2014,861706.0,247174.05303030304
IN,2014,447372.0,173393.20040899795
KS,2014,143165.0,204668.44827586206
